nohup: ignoring input
Using GPU (CUDA)
Step 29800: loss = 1.8632, lr = 0.0002, speed = 91943 tok/s
Step 29900: loss = 1.7854, lr = 0.0002, speed = 91963 tok/s
Step 30000: loss = 1.7871, lr = 0.0002, speed = 91983 tok/s
Step 30000: validation loss = 1.6533
Step 30100: loss = 1.7015, lr = 0.0002, speed = 91790 tok/s
Step 30200: loss = 1.7906, lr = 0.0002, speed = 91810 tok/s
Step 30300: loss = 1.8119, lr = 0.0002, speed = 91829 tok/s
Step 30400: loss = 1.8036, lr = 0.0002, speed = 91849 tok/s
Step 30500: loss = 1.7124, lr = 0.0002, speed = 91869 tok/s
Step 30600: loss = 1.8330, lr = 0.0002, speed = 91889 tok/s
Step 30700: loss = 1.7695, lr = 0.0002, speed = 91909 tok/s
Step 30800: loss = 1.8321, lr = 0.0002, speed = 91928 tok/s
Step 30900: loss = 1.6583, lr = 0.0002, speed = 91947 tok/s
Step 31000: loss = 1.7827, lr = 0.0002, speed = 91967 tok/s
Step 31000: validation loss = 1.6395
Step 31100: loss = 1.7401, lr = 0.0002, speed = 91771 tok/s
Step 31200: loss = 1.6800, lr = 0.0002, speed = 91791 tok/s
Step 31300: loss = 1.7388, lr = 0.0002, speed = 91811 tok/s
Step 31400: loss = 1.7637, lr = 0.0002, speed = 91830 tok/s
Step 31500: loss = 1.8177, lr = 0.0002, speed = 91850 tok/s
Step 31600: loss = 1.6887, lr = 0.0002, speed = 91869 tok/s
Step 31700: loss = 1.6262, lr = 0.0002, speed = 91889 tok/s
Step 31800: loss = 1.7873, lr = 0.0002, speed = 91908 tok/s
Step 31900: loss = 1.6762, lr = 0.0002, speed = 91927 tok/s
Step 32000: loss = 1.7397, lr = 0.0002, speed = 91947 tok/s
Step 32000: validation loss = 1.6382
Step 32100: loss = 1.7308, lr = 0.0002, speed = 91768 tok/s
Step 32200: loss = 1.8537, lr = 0.0002, speed = 91787 tok/s
Step 32300: loss = 1.5888, lr = 0.0002, speed = 91807 tok/s
Step 32400: loss = 1.5779, lr = 0.0002, speed = 91826 tok/s
Step 32500: loss = 1.9050, lr = 0.0002, speed = 91846 tok/s
Step 32600: loss = 1.6418, lr = 0.0002, speed = 91865 tok/s
Step 32700: loss = 1.7282, lr = 0.0002, speed = 91884 tok/s
Step 32800: loss = 1.6733, lr = 0.0002, speed = 91903 tok/s
Step 32900: loss = 1.7211, lr = 0.0002, speed = 91922 tok/s
Step 33000: loss = 1.6363, lr = 0.0002, speed = 91941 tok/s
Step 33000: validation loss = 1.6304
Step 33100: loss = 1.6251, lr = 0.0002, speed = 91764 tok/s
Step 33200: loss = 1.6913, lr = 0.0002, speed = 91783 tok/s
Step 33300: loss = 1.7957, lr = 0.0002, speed = 91802 tok/s
Step 33400: loss = 1.6771, lr = 0.0002, speed = 91822 tok/s
Step 33500: loss = 1.7640, lr = 0.0002, speed = 91841 tok/s
Step 33600: loss = 1.7975, lr = 0.0002, speed = 91861 tok/s
Step 33700: loss = 1.7160, lr = 0.0002, speed = 91880 tok/s
Step 33800: loss = 1.6438, lr = 0.0002, speed = 91900 tok/s
Step 33900: loss = 1.6713, lr = 0.0002, speed = 91919 tok/s
Step 34000: loss = 1.8780, lr = 0.0002, speed = 91939 tok/s
Step 34000: validation loss = 1.6237
Step 34100: loss = 1.8064, lr = 0.0002, speed = 91765 tok/s
Step 34200: loss = 1.6153, lr = 0.0002, speed = 91784 tok/s
Step 34300: loss = 1.8343, lr = 0.0002, speed = 91802 tok/s
Step 34400: loss = 1.7493, lr = 0.0002, speed = 91821 tok/s
Step 34500: loss = 1.6911, lr = 0.0002, speed = 91839 tok/s
Step 34600: loss = 1.6738, lr = 0.0002, speed = 91857 tok/s
Step 34700: loss = 1.8299, lr = 0.0002, speed = 91875 tok/s
Step 34800: loss = 1.6882, lr = 0.0002, speed = 91893 tok/s
Step 34900: loss = 1.5862, lr = 0.0002, speed = 91910 tok/s
Step 35000: loss = 1.6745, lr = 0.0002, speed = 91928 tok/s
Step 35000: validation loss = 1.6136
Step 35100: loss = 1.7726, lr = 0.0002, speed = 91760 tok/s
Step 35200: loss = 1.8264, lr = 0.0002, speed = 91778 tok/s
Step 35300: loss = 1.6449, lr = 0.0002, speed = 91795 tok/s
Step 35400: loss = 1.7162, lr = 0.0002, speed = 91814 tok/s
Step 35500: loss = 1.6851, lr = 0.0002, speed = 91833 tok/s
Step 35600: loss = 1.6061, lr = 0.0002, speed = 91851 tok/s
Step 35700: loss = 1.6122, lr = 0.0002, speed = 91869 tok/s
Step 35800: loss = 1.5355, lr = 0.0002, speed = 91887 tok/s
Step 35900: loss = 1.6220, lr = 0.0002, speed = 91904 tok/s
Step 36000: loss = 1.7403, lr = 0.0002, speed = 91922 tok/s
Step 36000: validation loss = 1.6110
Step 36100: loss = 1.6329, lr = 0.0002, speed = 91754 tok/s
Step 36200: loss = 1.6395, lr = 0.0002, speed = 91772 tok/s
Step 36300: loss = 1.7435, lr = 0.0002, speed = 91790 tok/s
Step 36400: loss = 1.7096, lr = 0.0002, speed = 91807 tok/s
Step 36500: loss = 1.7499, lr = 0.0002, speed = 91824 tok/s
Step 36600: loss = 1.6878, lr = 0.0002, speed = 91840 tok/s
Step 36700: loss = 1.8054, lr = 0.0002, speed = 91857 tok/s
Step 36800: loss = 1.7582, lr = 0.0002, speed = 91873 tok/s
